,wf_zipcode,state,county,latitude,longitude,windmills_count,pop_density,med_household_income,zipcode_withno_wf,distance_from_wfzipcode,Unnamed: 0,ZipCode,StateName,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change
36,93534,CA,Los Angeles County,34.691982,-118.221596,1,2215,35892,0,0,1077,93534,California,78800,91700,95400,92600,114200,134500,144100,155900,196600,229400,0.163705584,0.040348964,-0.029350105,0.233261339,0.177758319,0.071375465,0.081887578,0.261064785,0.166836216
37,93550,CA,Los Angeles County,34.555897,-118.118286,1,382,38316,0,0,201,93550,California,103000,109300,116100,109600,127000,160700,177000,201400,229200,256000,0.061165049,0.06221409,-0.055986219,0.158759124,0.265354331,0.101431238,0.137853107,0.138033764,0.116928447
38,93561,CA,Kern County,35.099396,-118.338585,1831,131,57433,0,0,1801,93561,California,181200,178500,155900,132800,158000,172000,230600,231800,233700,242400,-0.014900662,-0.126610644,-0.148171905,0.189759036,0.088607595,0.340697674,0.005203816,0.008196721,0.037227214
39,94502,CA,Alameda County,37.732441,-122.25177,6,5074,105616,0,0,3573,94502,California,450300,450300,450300,450300,551400,601300,610300,910300,858000,918700,0,0,0,0.224516989,0.090496917,0.01496757,0.491561527,-0.057453587,0.070745921
40,94551,CA,Contra Costa County,37.802994,-121.653885,38,467,95716,0,0,1155,94551,California,350800,381100,341400,330300,397800,506500,553500,598000,634400,718200,0.086374002,-0.104172133,-0.032513181,0.204359673,0.273252891,0.092793682,0.080397471,0.060869565,0.132093317
41,94947,CA,Marin County,38.15757,-122.679672,1,1070,80719,0,0,2612,94947,California,428900,430100,356100,425000,480400,556900,605500,665100,739900,766300,0.002797855,-0.172053011,0.193484976,0.130352941,0.159242298,0.087268809,0.098431049,0.112464291,0.035680497
42,95023,CA,Merced County,37.031593,-121.176186,163,118,67481,0,0,1053,95023,California,264000,259600,265600,238300,287900,385200,426100,478000,508800,530100,-0.016666667,0.023112481,-0.102786145,0.208140999,0.337964571,0.106178609,0.121802394,0.064435146,0.041863208
43,95377,CA,Alameda County,37.699894,-121.597389,1400,286,98072,0,0,2767,95377,California,248500,275500,267300,269000,306600,393800,402800,432700,461100,508000,0.108651911,-0.029764065,0.006359895,0.139776952,0.284409654,0.022854241,0.074230387,0.065634389,0.101713294
44,95391,CA,Alameda County,37.759995,-121.577583,84,419,99764,0,0,3582,95391,California,323700,320700,308500,305700,352000,438900,424100,503800,503500,588200,-0.009267841,-0.038041784,-0.009076175,0.151455675,0.246875,-0.033720665,0.187927376,-0.000595474,0.168222443
45,95616,CA,Yolo County,38.580673,-121.861214,1,1707,44741,0,0,603,95616,California,529600,529600,529600,529600,529600,529600,529600,536500,575400,638600,0,0,0,0,0,0,0.013028701,0.07250699,0.109836635
